,statnNm,pos0,pos1,pos2,pos3,pos4,neg0,neg1,neg2,neg3,neg4
0,용산 역,0.2624220848083496,0.21649353206157684,0.09236053377389908,0.18877096474170685,0.23995284736156464,0.2624220848083496,0.21649353206157684,0.09236053377389908,0.18877096474170685,0.23995284736156464
1,노량진 역,0.19865217804908752,0.08851088583469391,0.11987470835447311,0.0,0.5900378823280334,0.19865217804908752,0.08851088583469391,0.11987470835447311,0.0,0.5900378823280334
2,대방 역,0.10151638835668564,0.25826266407966614,0.010793009772896767,0.13793639838695526,0.49149155616760254,0.10151638835668564,0.25826266407966614,0.010793009772896767,0.13793639838695526,0.49149155616760254
3,신길 역,0.17915254831314087,0.0,0.3099493086338043,0.14046937227249146,0.3669355511665344,0.17915254831314087,0.0,0.3099493086338043,0.14046937227249146,0.3669355511665344
4,영등포 역,0.18660174310207367,0.11796459555625916,0.20630869269371033,0.06248807907104492,0.42663687467575073,0.18660174310207367,0.11796459555625916,0.20630869269371033,0.06248807907104492,0.42663687467575073
5,신도림 역,0.1774427741765976,0.11261366307735443,0.24716687202453613,0.0,0.46088841557502747,0.1774427741765976,0.11261366307735443,0.24716687202453613,0.0,0.46088841557502747
6,구로 역,0.0,0.1660129278898239,0.49041488766670227,0.0,0.3321836292743683,0.0,0.1660129278898239,0.49041488766670227,0.0,0.3321836292743683
7,구일 역,0.21454787254333496,0.5306965708732605,0.0,0.08878029137849808,0.15804101526737213,0.21454787254333496,0.5306965708732605,0.0,0.08878029137849808,0.15804101526737213
8,개봉 역,0.09325061738491058,0.5108132362365723,0.21846479177474976,0.0,0.17221328616142273,0.09325061738491058,0.5108132362365723,0.21846479177474976,0.0,0.17221328616142273
9,오류동 역,0.02615804597735405,0.27370741963386536,0.6471951007843018,0.02658301778137684,0.026356400921940804,0.02615804597735405,0.27370741963386536,0.6471951007843018,0.02658301778137684,0.026356400921940804
10,온수 역,0.01709390990436077,0.016770055517554283,0.36506831645965576,0.017117377370595932,0.5839503407478333,0.01709390990436077,0.016770055517554283,0.36506831645965576,0.017117377370595932,0.5839503407478333
11,역곡 역,0.3028174936771393,0.2639378309249878,0.1416553258895874,0.0,0.2852894067764282,0.3028174936771393,0.2639378309249878,0.1416553258895874,0.0,0.2852894067764282
12,소사 역,0.17061975598335266,0.38118332624435425,0.0,0.0,0.43056774139404297,0.17061975598335266,0.38118332624435425,0.0,0.0,0.43056774139404297
13,부천 역,0.8704976439476013,0.015659786760807037,0.015598151832818985,0.08262579143047333,0.015618628822267056,0.8704976439476013,0.015659786760807037,0.015598151832818985,0.08262579143047333,0.015618628822267056
14,중동 역,0.5509715676307678,0.0,0.17570695281028748,0.0,0.2549338638782501,0.5509715676307678,0.0,0.17570695281028748,0.0,0.2549338638782501
15,송내 역,0.1564447283744812,0.22039684653282166,0.2678676247596741,0.0,0.3515395224094391,0.1564447283744812,0.22039684653282166,0.2678676247596741,0.0,0.3515395224094391
16,부개 역,0.15533728897571564,0.46220913529396057,0.1698215752840042,0.01713164709508419,0.19550035893917084,0.15533728897571564,0.46220913529396057,0.1698215752840042,0.01713164709508419,0.19550035893917084
17,부평 역,0.38108521699905396,0.27191561460494995,0.0,0.21314075589179993,0.12954619526863098,0.38108521699905396,0.27191561460494995,0.0,0.21314075589179993,0.12954619526863098
18,백운 역,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224
19,동암 역,0.3052632510662079,0.0,0.40724173188209534,0.0,0.27262604236602783,0.3052632510662079,0.0,0.40724173188209534,0.0,0.27262604236602783
20,간석 역,0.052008841186761856,0.7977694272994995,0.050189726054668427,0.05002777278423309,0.05000424012541771,0.052008841186761856,0.7977694272994995,0.050189726054668427,0.05002777278423309,0.05000424012541771
21,주안 역,0.310651570558548,0.2815249562263489,0.01699567399919033,0.017063939943909645,0.3737638592720032,0.310651570558548,0.2815249562263489,0.01699567399919033,0.017063939943909645,0.3737638592720032
22,도화 역,0.05023310333490372,0.4841636121273041,0.36100995540618896,0.05126473307609558,0.053328610956668854,0.05023310333490372,0.4841636121273041,0.36100995540618896,0.05126473307609558,0.053328610956668854
23,제물포 역,0.4224456250667572,0.01064292062073946,0.29826316237449646,0.01092191319912672,0.2577263414859772,0.4224456250667572,0.01064292062073946,0.29826316237449646,0.01092191319912672,0.2577263414859772
24,도원 역,0.4934943616390228,0.020586466416716576,0.020891914144158363,0.3426550328731537,0.12237218767404556,0.4934943616390228,0.020586466416716576,0.020891914144158363,0.3426550328731537,0.12237218767404556
25,동인천 역,0.2628873884677887,0.0,0.47075825929641724,0.0,0.25828567147254944,0.2628873884677887,0.0,0.47075825929641724,0.0,0.25828567147254944
26,인천 역,0.0,0.0,0.6561463475227356,0.0,0.330220490694046,0.0,0.0,0.6561463475227356,0.0,0.330220490694046
