,statnNm,pos0,pos1,pos2,pos3,pos4,neg0,neg1,neg2,neg3,neg4
0,센가쿠지 station,0.24546527862548828,0.12413006275892258,0.2668541669845581,0.11180717498064041,0.2517433166503906,0.24546527862548828,0.12413006275892258,0.2668541669845581,0.11180717498064041,0.2517433166503906
1,시나가와 station,0.1281142681837082,0.1330988109111786,0.5264004468917847,0.07021009176969528,0.14217634499073029,0.1281142681837082,0.1330988109111786,0.5264004468917847,0.07021009176969528,0.14217634499073029
2,키타시나가와 station,0.16922590136528015,0.12522251904010773,0.4231993556022644,0.0254746712744236,0.2568775415420532,0.16922590136528015,0.12522251904010773,0.4231993556022644,0.0254746712744236,0.2568775415420532
3,신반바 station,0.21930921077728271,0.1516811102628708,0.4849337339401245,0.03951416164636612,0.10456174612045288,0.21930921077728271,0.1516811102628708,0.4849337339401245,0.03951416164636612,0.10456174612045288
4,아오모노요코초 station,0.1243898868560791,0.10954242199659348,0.41541817784309387,0.01437641866505146,0.33627310395240784,0.1243898868560791,0.10954242199659348,0.41541817784309387,0.01437641866505146,0.33627310395240784
5,사메즈 station,0.1409006416797638,0.26470473408699036,0.491314560174942,0.10026470571756363,0.0,0.1409006416797638,0.26470473408699036,0.491314560174942,0.10026470571756363,0.0
6,타치아이가와 station,0.3011195957660675,0.21812428534030914,0.245231032371521,0.02765561453998089,0.20786945521831512,0.3011195957660675,0.21812428534030914,0.245231032371521,0.02765561453998089,0.20786945521831512
7,오모리카이간 station,0.12599046528339386,0.35184410214424133,0.3956120014190674,0.0,0.12431157380342484,0.12599046528339386,0.35184410214424133,0.3956120014190674,0.0,0.12431157380342484
8,헤이와지마 station,0.11352284252643585,0.15175294876098633,0.31617486476898193,0.1718754917383194,0.24667388200759888,0.11352284252643585,0.15175294876098633,0.31617486476898193,0.1718754917383194,0.24667388200759888
9,오모리마치 역,0.0,0.3567503094673157,0.39084476232528687,0.0,0.24610798060894012,0.0,0.3567503094673157,0.39084476232528687,0.0,0.24610798060894012
10,우메야시키 역,0.08954063802957535,0.14665916562080383,0.35183197259902954,0.0908573642373085,0.32111087441444397,0.08954063802957535,0.14665916562080383,0.35183197259902954,0.0908573642373085,0.32111087441444397
11,게이큐카마타 역,0.10417503118515015,0.12438128143548965,0.4663546085357666,0.07827287912368774,0.22681622207164764,0.10417503118515015,0.12438128143548965,0.4663546085357666,0.07827287912368774,0.22681622207164764
12,조시키 역,0.04193007946014404,0.27465566992759705,0.49401986598968506,0.0,0.18789485096931458,0.04193007946014404,0.27465566992759705,0.49401986598968506,0.0,0.18789485096931458
13,로쿠고도테 역,0.04679075628519058,0.17503853142261505,0.4252967834472656,0.3072066903114319,0.04566723108291626,0.04679075628519058,0.17503853142261505,0.4252967834472656,0.3072066903114319,0.04566723108291626
14,케이큐카와사키 역,0.04376640543341637,0.13062776625156403,0.42583736777305603,0.14250411093235016,0.25726431608200073,0.04376640543341637,0.13062776625156403,0.42583736777305603,0.14250411093235016,0.25726431608200073
15,핫쵸나와테 역,0.11652185022830963,0.17219246923923492,0.3286411464214325,0.092579185962677,0.29006534814834595,0.11652185022830963,0.17219246923923492,0.3286411464214325,0.092579185962677,0.29006534814834595
16,츠루미이치바 역,0.0,0.2106039673089981,0.4140985310077667,0.22042223811149597,0.14862732589244843,0.0,0.2106039673089981,0.4140985310077667,0.22042223811149597,0.14862732589244843
17,게이큐츠루미 역,0.1657385677099228,0.05728236585855484,0.35923993587493896,0.30996471643447876,0.10777437686920166,0.1657385677099228,0.05728236585855484,0.35923993587493896,0.30996471643447876,0.10777437686920166
18,카게츠소지지 역,0.07201911509037018,0.08847492188215256,0.5130822658538818,0.18490557372570038,0.14151811599731445,0.07201911509037018,0.08847492188215256,0.5130822658538818,0.18490557372570038,0.14151811599731445
19,나마무기 역,0.1552855372428894,0.10829206556081772,0.32010766863822937,0.1530345380306244,0.2632801830768585,0.1552855372428894,0.10829206556081772,0.32010766863822937,0.1530345380306244,0.2632801830768585
20,케이큐신코야스 역,0.17039191722869873,0.24281206727027893,0.2791130840778351,0.08780908584594727,0.21987387537956238,0.17039191722869873,0.24281206727027893,0.2791130840778351,0.08780908584594727,0.21987387537956238
21,코야스 역,0.207802876830101,0.14680498838424683,0.3310409188270569,0.03579949587583542,0.27855172753334045,0.207802876830101,0.14680498838424683,0.3310409188270569,0.03579949587583542,0.27855172753334045
22,가나가와신마치 역,0.22604261338710785,0.02961656264960766,0.4216737151145935,0.024983715265989304,0.297683447599411,0.22604261338710785,0.02961656264960766,0.4216737151145935,0.024983715265989304,0.297683447599411
23,케이큐히가시카나가와 역,0.29809582233428955,0.0,0.3151663541793823,0.04403934255242348,0.34149169921875,0.29809582233428955,0.0,0.3151663541793823,0.04403934255242348,0.34149169921875
24,가나가와 역,0.35615450143814087,0.19597232341766357,0.362197607755661,0.08404704928398132,0.0,0.35615450143814087,0.19597232341766357,0.362197607755661,0.08404704928398132,0.0
25,요코하마 역,0.08661691844463348,0.14064280688762665,0.43627750873565674,0.12677715718746185,0.20968563854694366,0.08661691844463348,0.14064280688762665,0.43627750873565674,0.12677715718746185,0.20968563854694366
