,statnNm,pos0,pos1,pos2,pos3,pos4,neg0,neg1,neg2,neg3,neg4
0,서울역역,0.13487495481967926,0.12899143993854523,0.3439476788043976,0.07442230731248856,0.31776362657546997,0.13487495481967926,0.12899143993854523,0.3439476788043976,0.07442230731248856,0.31776362657546997
1,남영,0.02108122408390045,0.020735708996653557,0.02066439762711525,0.3436606824398041,0.5938579440116882,0.02108122408390045,0.020735708996653557,0.02066439762711525,0.3436606824398041,0.5938579440116882
2,용산,0.14034490287303925,0.13960403203964233,0.47547098994255066,0.04567743092775345,0.1989026665687561,0.14034490287303925,0.13960403203964233,0.47547098994255066,0.04567743092775345,0.1989026665687561
3,노량진,0.18889831006526947,0.1994563788175583,0.2712615430355072,0.03105950728058815,0.3093242645263672,0.18889831006526947,0.1994563788175583,0.2712615430355072,0.03105950728058815,0.3093242645263672
4,대방,0.14216656982898712,0.010993252508342266,0.6119679808616638,0.010707853361964226,0.22416430711746216,0.14216656982898712,0.010993252508342266,0.6119679808616638,0.010707853361964226,0.22416430711746216
5,신길,0.1949617564678192,0.18480458855628967,0.42027705907821655,0.02193506993353367,0.17802153527736664,0.1949617564678192,0.18480458855628967,0.42027705907821655,0.02193506993353367,0.17802153527736664
6,영등포,0.13335396349430084,0.22380852699279785,0.2931102514266968,0.046787381172180176,0.30293989181518555,0.13335396349430084,0.22380852699279785,0.2931102514266968,0.046787381172180176,0.30293989181518555
7,신도림,0.15955762565135956,0.3875240087509155,0.19927355647087097,0.05039459839463234,0.2032501995563507,0.15955762565135956,0.3875240087509155,0.19927355647087097,0.05039459839463234,0.2032501995563507
8,구로,0.27926358580589294,0.07031592726707458,0.501123309135437,0.0,0.1447628289461136,0.27926358580589294,0.07031592726707458,0.501123309135437,0.0,0.1447628289461136
9,가산디지털단지,0.0,0.1885240077972412,0.42929357290267944,0.15087559819221497,0.22826789319515228,0.0,0.1885240077972412,0.42929357290267944,0.15087559819221497,0.22826789319515228
10,독산,0.36581701040267944,0.0,0.5543285012245178,0.06509683281183243,0.0,0.36581701040267944,0.0,0.5543285012245178,0.06509683281183243,0.0
11,금천구청,0.09336747229099274,0.1029607430100441,0.476078063249588,0.11625641584396362,0.21133732795715332,0.09336747229099274,0.1029607430100441,0.476078063249588,0.11625641584396362,0.21133732795715332
12,석수,0.0,0.0,0.9670857191085815,0.0,0.0,0.0,0.0,0.9670857191085815,0.0,0.0
13,관악,0.17904308438301086,0.16397759318351746,0.20109587907791138,0.16193392872810364,0.29394954442977905,0.17904308438301086,0.16397759318351746,0.20109587907791138,0.16193392872810364,0.29394954442977905
14,안양,0.10749032348394394,0.22312644124031067,0.652782678604126,0.0,0.0,0.10749032348394394,0.22312644124031067,0.652782678604126,0.0,0.0
15,명학,0.7171691656112671,0.01365575660020113,0.013534065335988998,0.2421097308397293,0.013531272299587727,0.7171691656112671,0.01365575660020113,0.013534065335988998,0.2421097308397293,0.013531272299587727
16,금정,0.20640192925930023,0.30936363339424133,0.3686165511608124,0.02619006112217903,0.08942780643701553,0.20640192925930023,0.30936363339424133,0.3686165511608124,0.02619006112217903,0.08942780643701553
17,군포,0.29608067870140076,0.15456949174404144,0.317703515291214,0.0,0.2250480055809021,0.29608067870140076,0.15456949174404144,0.317703515291214,0.0,0.2250480055809021
18,당정,0.20515809953212738,0.3222784399986267,0.1877376288175583,0.27815210819244385,0.0,0.20515809953212738,0.3222784399986267,0.1877376288175583,0.27815210819244385,0.0
19,의왕,0.3999510407447815,0.0,0.3109189569950104,0.027363216504454613,0.258091539144516,0.3999510407447815,0.0,0.3109189569950104,0.027363216504454613,0.258091539144516
20,성균관대,0.12097549438476562,0.244371235370636,0.12317994236946106,0.17428869009017944,0.3371846377849579,0.12097549438476562,0.244371235370636,0.12317994236946106,0.17428869009017944,0.3371846377849579
21,화서,0.23402082920074463,0.2850857079029083,0.0,0.18289627134799957,0.29095861315727234,0.23402082920074463,0.2850857079029083,0.0,0.18289627134799957,0.29095861315727234
22,수원,0.2256079614162445,0.10373134911060333,0.39678311347961426,0.09894309937953949,0.1749344766139984,0.2256079614162445,0.10373134911060333,0.39678311347961426,0.09894309937953949,0.1749344766139984
23,세류,0.14871585369110107,0.1200486347079277,0.0,0.581448495388031,0.14186422526836395,0.14871585369110107,0.1200486347079277,0.0,0.581448495388031,0.14186422526836395
24,병점,0.08176504075527191,0.0,0.6098174452781677,0.0,0.2924674451351166,0.08176504075527191,0.0,0.6098174452781677,0.0,0.2924674451351166
25,세마,0.5171275734901428,0.4221767485141754,0.020432589575648308,0.02005920186638832,0.020203886553645134,0.5171275734901428,0.4221767485141754,0.020432589575648308,0.02005920186638832,0.020203886553645134
26,오산대,0.41519343852996826,0.0,0.13707497715950012,0.24172194302082062,0.19954873621463776,0.41519343852996826,0.0,0.13707497715950012,0.24172194302082062,0.19954873621463776
