,statnNm,pos0,pos1,pos2,pos3,pos4,neg0,neg1,neg2,neg3,neg4
0,개화역,0.11138062924146652,0.011186555959284306,0.01144946739077568,0.011303015984594822,0.8546802997589111,0.11138062924146652,0.011186555959284306,0.01144946739077568,0.011303015984594822,0.8546802997589111
1,김포공항역,0.5354887247085571,0.02669406309723854,0.14223775267601013,0.0,0.29494598507881165,0.5354887247085571,0.02669406309723854,0.14223775267601013,0.0,0.29494598507881165
2,공항시장역,0.013088880106806755,0.01273229531943798,0.4236815571784973,0.012943597510457039,0.5375537276268005,0.013088880106806755,0.01273229531943798,0.4236815571784973,0.012943597510457039,0.5375537276268005
3,신방화역,0.18273700773715973,0.3570084571838379,0.010828528553247452,0.13232913613319397,0.3170968294143677,0.18273700773715973,0.3570084571838379,0.010828528553247452,0.13232913613319397,0.3170968294143677
4,마곡나루역,0.4864077866077423,0.03435039892792702,0.16403423249721527,0.09220726042985916,0.22300031781196594,0.4864077866077423,0.03435039892792702,0.16403423249721527,0.09220726042985916,0.22300031781196594
5,양천향교역,0.015050346031785011,0.2889242470264435,0.25520336627960205,0.014450132846832275,0.42637187242507935,0.015050346031785011,0.2889242470264435,0.25520336627960205,0.014450132846832275,0.42637187242507935
6,가양역,0.3742065727710724,0.0,0.36590930819511414,0.040226586163043976,0.21556173264980316,0.3742065727710724,0.0,0.36590930819511414,0.040226586163043976,0.21556173264980316
7,증미역,0.5281864404678345,0.4462938606739044,0.0,0.0,0.0,0.5281864404678345,0.4462938606739044,0.0,0.0,0.0
8,등촌역,0.39261123538017273,0.30292853713035583,0.19377613067626953,0.0,0.10415663570165634,0.39261123538017273,0.30292853713035583,0.19377613067626953,0.0,0.10415663570165634
9,염창역,0.4689953327178955,0.16790932416915894,0.13973811268806458,0.0,0.21560925245285034,0.4689953327178955,0.16790932416915894,0.13973811268806458,0.0,0.21560925245285034
10,신목동역,0.014823876321315765,0.41374096274375916,0.014866959303617477,0.014296145178377628,0.5422720313072205,0.014823876321315765,0.41374096274375916,0.014866959303617477,0.014296145178377628,0.5422720313072205
11,선유도역,0.18352928757667542,0.15016570687294006,0.33141636848449707,0.0,0.3294709026813507,0.18352928757667542,0.15016570687294006,0.33141636848449707,0.0,0.3294709026813507
12,당산역,0.25861403346061707,0.0936337411403656,0.17578011751174927,0.16022701561450958,0.3117451071739197,0.25861403346061707,0.0936337411403656,0.17578011751174927,0.16022701561450958,0.3117451071739197
