,statnNo,statnNm,km,express,location,people,time,transfer,sameTrans,diffTrans,trainTrans,airTrans,platform,transport,store,public_med_facility,multi_facility
0,901,개화역,0,0,1,3879,0:00,0,0,0,0,0,1,1,3,0,0
1,902,김포공항역,3.6,1,0,58004,6:00,4,0,4,1,1,0,0,9,0,0
2,903,공항시장역,4.4,0,0,5633,2:00,0,0,0,0,0,0,1,49,3,2
3,904,신방화역,5.2,0,0,12007,2:00,0,0,0,0,0,0,0,35,1,2
4,905,마곡나루역,6.1,1,0,26557,2:00,1,0,1,0,1,0,0,54,2,0
5,906,양천향교역,7.5,0,0,17022,2:00,0,0,0,0,0,0,0,47,2,2
6,907,가양역,8.8,1,0,36792,2:00,0,0,0,0,0,0,0,55,7,2
7,908,증미역,9.5,0,0,12245,3:00,0,0,0,0,0,0,1,18,8,0
8,909,등촌역,10.5,0,0,19735,2:00,0,0,0,0,0,0,0,48,7,4
9,910,염창역,11.4,1,0,30450,2:00,0,0,0,0,0,0,2,56,6,0
10,911,신목동역,12.3,0,0,6893,2:00,0,0,0,0,0,0,4,6,0,0
11,912,선유도역,13.5,0,0,14278,2:00,0,0,0,0,0,0,2,60,6,2
12,913,당산역,14.5,1,0,109614,4:00,1,0,1,0,0,1,3,50,12,2
13,914,국회의사당역,16,0,0,27285,3:00,0,0,0,0,0,1,2,14,0,0
14,915,여의도역,16.9,1,0,103688,2:00,1,0,1,0,1,0,1,58,8,3
15,916,샛강역,17.7,0,0,10349,2:00,1,0,1,0,0,0,0,1,0,0
16,917,노량진역,18.9,1,0,47286,2:00,1,0,1,0,0,0,2,34,4,0
17,918,노들역,20,0,0,7768,2:00,0,0,0,0,0,0,1,2,3,0
18,919,흑석역,21.1,0,0,15983,2:00,0,0,0,0,0,0,1,20,3,1
19,920,동작역,22.5,1,0,49900,3:00,1,0,1,0,0,0,0,2,0,0
20,921,구반포역,23.5,0,0,2306,2:00,0,0,0,0,0,0,0,44,6,5
21,922,신반포역,24.2,0,0,6677,1:00,0,0,0,0,0,0,1,18,5,0
22,923,사평역,25,1,0,256340,2:00,2,0,2,0,0,0,3,46,8,7
23,924,고속터미널역,26.1,0,0,"6,409",2:00,0,0,0,0,0,0,1,2,0,0
24,925,신논현역,27,1,0,"72,407",2:00,1,0,1,0,0,0,1,52,17,0
25,926,언주역,27.8,0,0,"18,534",2:00,0,0,0,0,0,0,3,38,11,1
26,927,선정릉역,28.7,1,0,24296,1:30,1,0,1,0,0,0,3,46,8,3
27,928,삼성중앙역,29.5,0,0,12241,1:30,0,0,0,0,0,0,0,47,3,2
28,929,봉은사역,30.3,1,0,"32,564",1:30,0,0,0,0,0,0,0,42,6,4
29,930,종합운동장역,31.7,1,0,40591,2:00,1,1,0,0,0,0,0,2,0,0
30,931,삼전역,33.1,0,0,12234,2:30,0,0,0,0,0,0,0,48,5,4
31,932,석촌고분역,33.9,0,0,11126,1:30,0,0,0,0,0,1,0,44,6,1
32,933,석촌역,34.9,1,0,49088,1:30,1,1,0,0,0,1,0,44,9,1
33,934,송파나루역,35.7,0,0,"9,876",1:30,0,0,0,0,0,0,0,45,2,1
34,935,한성백제역,36.5,0,0,"4,633",1:30,0,0,0,0,0,1,0,12,1,0
35,936,올림픽공원역,37.9,1,0,30866,2:00,1,1,0,0,0,1,2,6,0,0
36,937,둔촌오륜역,38.9,0,0,"1,914",1:30,0,0,0,0,0,1,0,3,0,0
37,938,중앙보훈병원역,40.6,1,0,"17,393",2:30,0,0,0,0,0,0,0,6,0,0
