,statnNo,statnNm,km,express,location,people,time,transfer,sameTrans,diffTrans,trainTrans,airTrans,platform,transport,store,public_med_facility,multi_facility
0,135,용산 역,0,1,1,"72,352",0:00,1,1,0,1,0,0,0,60,3,6
1,136,노량진 역,2.6,1,1,"106,658",3:30,1,0,1,0,1,0,2,34,4,0
2,137,대방 역,4.1,0,1,"21,483",2:30,1,0,1,0,0,0,0,24,1,0
3,138,신길 역,4.9,0,1,"63,478",1:30,1,0,1,0,1,0,1,3,0,1
4,139,영등포 역,5.9,1,1,"77,045",2:30,1,1,0,1,0,0,0,60,3,5
5,140,신도림 역,7.4,1,1,"289,717",2:30,1,0,1,0,0,0,0,14,5,0
6,141,구로 역,8.5,1,1,"33,164",2:00,1,1,0,0,0,0,0,24,1,0
7,142,구일 역,9.9,0,1,"13,408",3:00,0,0,0,0,0,0,0,0,0,0
8,143,개봉 역,10.9,0,1,"38,294",2:00,0,0,0,0,0,0,0,10,4,0
9,144,오류동 역,12.2,0,1,"20,734",2:30,0,0,0,0,0,0,0,3,4,0
10,145,온수 역,14.1,0,1,"42,373",3:00,1,0,1,0,0,0,0,0,1,0
11,146,역곡 역,15.4,1,1,"49,578",2:00,0,0,0,0,0,0,2,53,9,2
12,147,소사 역,16.9,0,1,"15,870",2:30,1,1,0,0,0,0,3,18,0,0
13,148,부천 역,18,1,1,"60,526",2:00,0,0,0,0,0,0,0,54,3,8
14,149,중동 역,19.7,0,1,"16,310",2:30,0,0,0,0,0,0,0,42,0,0
15,150,송내 역,20.7,1,1,"47,872",2:00,0,0,0,0,0,0,1,46,6,0
16,151,부개 역,21.9,0,1,"15,088",2:00,0,0,0,0,0,0,0,22,1,0
17,152,부평 역,23.4,1,1,"57,388",2:30,1,0,1,0,0,0,4,60,6,5
18,153,백운 역,25.1,0,1,"12,453",2:30,0,0,0,0,0,0,0,23,0,0
19,154,동암 역,26.6,0,1,"28,313",2:30,0,0,0,0,0,0,4,52,6,1
20,155,간석 역,27.8,0,1,"10,355",2:30,0,0,0,0,0,0,3,26,1,0
21,156,주안 역,29,1,1,"33,676",2:00,1,0,1,0,0,0,0,54,8,2
22,157,도화 역,30,0,1,"7,303",2:00,0,0,0,0,0,0,0,9,1,0
23,158,제물포 역,31,0,1,"18,765",2:00,0,0,0,0,0,0,2,55,3,4
24,159,도원 역,32.4,0,1,"5,767",2:00,0,0,0,0,0,0,1,7,0,0
25,160,동인천 역,33.6,1,1,"25,222",2:00,0,0,0,0,0,0,1,43,1,0
26,161,인천 역,35.5,0,1,"6,991",4:00,1,1,0,0,0,0,0,44,3,6
