,statnNm,pos0,pos1,pos2,pos3,pos4,pos5,neg0,neg1,neg2,neg3,neg4,neg5
0,미즈호다이,0.09134051203727722,0.0,0.0,0.16193416714668274,0.4401092827320099,0.3011793792247772,0.14495228230953217,0.0,0.5083460807800293,0.23760169744491577,0.10366500914096832,0.0
1,야나세가와,0.0,0.18639343976974487,0.1731961965560913,0.0,0.38620898127555847,0.2480555921792984,0.06488338857889175,0.2287694811820984,0.31622278690338135,0.0,0.3839670717716217,0.0
2,시키,0.07819203287363052,0.10845033079385757,0.4035719633102417,0.13168884813785553,0.2771782875061035,0.0,0.0909138172864914,0.20075955986976624,0.3339499235153198,0.12570369243621826,0.201129749417305,0.0475432388484478
3,아사카다이,0.0,0.017779050394892693,0.36802828311920166,0.10979163646697998,0.43567606806755066,0.06803065538406372,0.11441653221845627,0.3999195694923401,0.2596224844455719,0.05941822752356529,0.10635679960250854,0.060266416519880295
4,아사카,0.0,0.3277643024921417,0.25159111618995667,0.27838900685310364,0.0950455293059349,0.04548712447285652,0.15389996767044067,0.24395444989204407,0.4522327780723572,0.107108473777771,0.0,0.041079916059970856
5,와코시,0.0,0.1935453563928604,0.18732228875160217,0.21675975620746613,0.2742074728012085,0.12769129872322083,0.22517496347427368,0.16618822515010834,0.2515316307544708,0.14815391600131989,0.12407343834638596,0.08487778902053833
6,치카테츠나리마스,0.0,0.2883412539958954,0.0838567391037941,0.08458070456981659,0.3540305197238922,0.18618130683898926,0.22897091507911682,0.20500509440898895,0.30188629031181335,0.06542855501174927,0.19569437205791473,0.0
7,지카테쓰 아카쓰카,0.0,0.0,0.0,0.2313963919878006,0.7349058985710144,0.0,0.0,0.0,0.9577957391738892,0.0,0.0,0.0
8,헤이와다이,0.24295049905776978,0.0,0.2330087125301361,0.5116905570030212,0.0,0.0,0.0,0.050236109644174576,0.37428367137908936,0.2431039959192276,0.16588257253170013,0.1623683124780655
9,히카와다이,0.0,0.0,0.26026564836502075,0.0,0.6175078749656677,0.1109929084777832,0.19734151661396027,0.2530805468559265,0.18261536955833435,0.0,0.21707050502300262,0.1461305022239685
10,코타케무카이하라,0.0670556128025055,0.12288670241832733,0.1817374974489212,0.2459435611963272,0.26781028509140015,0.11456634104251862,0.1575162708759308,0.2567540109157562,0.37748968601226807,0.11192570626735687,0.09531287848949432,0.0
11,센카와,0.09747384488582611,0.11046554148197174,0.0,0.41143396496772766,0.3184419572353363,0.059992995113134384,0.10168192535638809,0.2022249698638916,0.5151910781860352,0.0,0.17653198540210724,0.0
12,카나메쵸,0.0,0.1452273577451706,0.251376211643219,0.1295057088136673,0.2909054756164551,0.18134863674640656,0.13045595586299896,0.14952044188976288,0.5026352405548096,0.10742083191871643,0.10833203047513962,0.0
13,이케부쿠로,0.028886884450912476,0.24432986974716187,0.24588210880756378,0.07625503093004227,0.3369075655937195,0.06773850321769714,0.12651333212852478,0.15878747403621674,0.4694523215293884,0.08782703429460526,0.10779251903295517,0.04962727054953575
14,조시가야,0.0,0.0,0.13451088964939117,0.19691102206707,0.41554656624794006,0.24939149618148804,0.0,0.21368402242660522,0.6381672620773315,0.06493394821882248,0.0795898288488388,0.0
15,니시와세다,0.0,0.12408854067325592,0.2568863332271576,0.3843265473842621,0.14186108112335205,0.09104268997907639,0.0,0.10999865084886551,0.6875041127204895,0.03668821603059769,0.16222959756851196,0.0
16,히가시신주쿠,0.0,0.3065778911113739,0.278621643781662,0.1832563281059265,0.1463650017976761,0.08398909121751785,0.06864193826913834,0.2616887092590332,0.46935150027275085,0.0,0.19794513285160065,0.0
17,신주쿠산초메,0.0,0.5376361012458801,0.1186625212430954,0.04740443825721741,0.19392485916614532,0.10194028168916702,0.0562683530151844,0.38888031244277954,0.4969356954097748,0.0,0.05248936265707016,0.0
18,키타산도,0.0,0.13879525661468506,0.0,0.27492621541023254,0.3988494277000427,0.1804153174161911,0.2530347406864166,0.08384480327367783,0.5218427777290344,0.1342548280954361,0.0,0.0
19,메이지진구마에〈하라주쿠〉,0.03758137300610542,0.07654384523630142,0.17182521522045135,0.22625857591629028,0.3657538592815399,0.12203714996576309,0.0,0.0,0.7223764061927795,0.0,0.24689072370529175,0.026200223714113235
20,시부야,0.053033072501420975,0.17851558327674866,0.15151600539684296,0.20352303981781006,0.28078770637512207,0.1326245665550232,0.15749140083789825,0.123319111764431,0.42191165685653687,0.14817707240581512,0.11480811983346939,0.03429263457655907
