,statnNm,pos0,pos1,pos2,pos3,neg0,neg1,neg2,neg3
0,개화역,0.7287551164627075,0.014338010922074318,0.014146817848086357,0.2427600622177124,0.5530873537063599,0.014286156743764877,0.41831254959106445,0.014313936233520508
1,김포공항역,0.047069989144802094,0.37532252073287964,0.0,0.576809287071228,0.6500908136367798,0.014441169798374176,0.306041419506073,0.02942661941051483
2,공항시장역,0.9486742615699768,0.01773061975836754,0.01685171388089657,0.016743415966629982,0.3767338693141937,0.016682948917150497,0.3935064375400543,0.21307675540447235
3,신방화역,0.014258699491620064,0.4260420501232147,0.29021212458610535,0.269487202167511,0.40719714760780334,0.3523266613483429,0.22567373514175415,0.014802423305809498
4,마곡나루역,0.23215657472610474,0.3340238928794861,0.0880519449710846,0.3457675576210022,0.4523884654045105,0.0,0.3783721923828125,0.16403262317180634
5,양천향교역,0.07861454039812088,0.21760471165180206,0.0202072411775589,0.6835734844207764,0.43188199400901794,0.13966378569602966,0.41032448410987854,0.01812974363565445
6,가양역,0.0,0.5458356142044067,0.0,0.44331130385398865,0.4359164834022522,0.0,0.52241051197052,0.03627569600939751
7,증미역,0.010961335152387619,0.5010941028594971,0.011690418235957623,0.4762541353702545,0.3964342474937439,0.4340342879295349,0.011294065974652767,0.15823739767074585
8,등촌역,0.29789990186691284,0.2085285633802414,0.19666986167430878,0.296901673078537,0.21442930400371552,0.4791692793369293,0.2969342768192291,0.0
9,염창역,0.2043844312429428,0.38792818784713745,0.12814192473888397,0.2795454263687134,0.5999336242675781,0.1489003747701645,0.20612306892871857,0.04504292458295822
10,신목동역,0.01972026564180851,0.29483574628829956,0.13402938842773438,0.5514145493507385,0.48619288206100464,0.4760726988315582,0.019796138629317284,0.01793828420341015
11,선유도역,0.30573949217796326,0.2757583558559418,0.0,0.41122135519981384,0.23131419718265533,0.29606160521507263,0.46559998393058777,0.0
12,당산역,0.0,0.43057602643966675,0.0690297782421112,0.49585577845573425,0.37068331241607666,0.12839803099632263,0.38284939527511597,0.11806929856538773
13,국회의사당역,0.05051623284816742,0.5643640756607056,0.05357950180768967,0.33154013752937317,0.8384693264961243,0.05391206219792366,0.05489827319979668,0.052720390260219574
14,여의도역,0.0,0.5437617301940918,0.09557067602872849,0.35102856159210205,0.22069087624549866,0.21048744022846222,0.4727175533771515,0.09610412269830704
15,샛강역,0.22355785965919495,0.4043505787849426,0.12375154346227646,0.24833999574184418,0.2904008626937866,0.4461190700531006,0.168787881731987,0.0946921855211258
16,노량진역,0.14386868476867676,0.2883639633655548,0.23902955651283264,0.3287378251552582,0.3221604824066162,0.2073572874069214,0.3782237768173218,0.09225845336914062
17,노들역,0.033100541681051254,0.42492350935935974,0.03202754259109497,0.5099483728408813,0.032057616859674454,0.37934356927871704,0.03365195542573929,0.5549468398094177
18,흑석역,0.5183549523353577,0.08919291943311691,0.3086923360824585,0.0837598368525505,0.09291274100542068,0.08571334928274155,0.7379705905914307,0.0834033191204071
19,동작역,0.3023375868797302,0.26567164063453674,0.01288506668061018,0.41910573840141296,0.20111127197742462,0.013055485673248768,0.7731483578681946,0.012684846296906471
20,구반포역,0.08434560894966125,0.10235085338354111,0.09350026398897171,0.7198032736778259,0.09111111611127853,0.08707625418901443,0.7356297373771667,0.08618287742137909
21,신반포역,0.03360680863261223,0.6313531398773193,0.03224610537290573,0.302793949842453,0.5688374638557434,0.03342805057764053,0.36571165919303894,0.0320228710770607
22,사평역,0.051991939544677734,0.051065362989902496,0.05128319561481476,0.8456594944000244,0.05191164091229439,0.05084113031625748,0.5708168148994446,0.32643038034439087
