,statnNm,pos0,pos1,pos2,pos3,neg0,neg1,neg2,neg3
0,용산 역,0.3972298502922058,0.10263975709676743,0.0,0.4993003308773041,0.23664836585521698,0.35094889998435974,0.24095094203948975,0.17145174741744995
1,노량진 역,0.053172025829553604,0.03142017871141434,0.0,0.9114993214607239,0.2175646275281906,0.0,0.6605788469314575,0.11794513463973999
2,대방 역,0.21552976965904236,0.014784751459956169,0.014393728226423264,0.7552918195724487,0.014544129371643066,0.10080840438604355,0.740790069103241,0.14385737478733063
3,신길 역,0.15025605261325836,0.0231256615370512,0.0,0.8219667077064514,0.2699912488460541,0.0,0.47311967611312866,0.2522813379764557
4,영등포 역,0.34863924980163574,0.2059207707643509,0.12908506393432617,0.316354900598526,0.13751830160617828,0.3094373643398285,0.46274304389953613,0.09030129015445709
5,신도림 역,0.09656912088394165,0.12766900658607483,0.20689022541046143,0.5688716769218445,0.2749932110309601,0.22415567934513092,0.49829432368278503,0.0
6,구로 역,0.8594890236854553,0.0,0.04643534496426582,0.08639881759881973,0.21382318437099457,0.11837293952703476,0.6604602932929993,0.0
7,구일 역,0.5892685055732727,0.2278282195329666,0.17233343422412872,0.01056983694434166,0.32622361183166504,0.5530217885971069,0.010183370672166348,0.1105712279677391
8,개봉 역,0.0,0.29409822821617126,0.0,0.6919283270835876,0.31358909606933594,0.4068329632282257,0.2721633017063141,0.0
9,오류동 역,0.03469470143318176,0.489359050989151,0.4405125677585602,0.03543369099497795,0.2636394202709198,0.3087834417819977,0.03334662690758705,0.39423054456710815
10,온수 역,0.33678555488586426,0.022194022312760353,0.021029645577073097,0.6199907660484314,0.3297567367553711,0.021553585305809975,0.6270962357521057,0.02159346640110016
11,역곡 역,0.4051869213581085,0.21997764706611633,0.09679102152585983,0.27804437279701233,0.5646367073059082,0.13266874849796295,0.24407026171684265,0.05862423777580261
12,소사 역,0.20074763894081116,0.011679134331643581,0.19412153959274292,0.593451738357544,0.553968608379364,0.3964458405971527,0.03730737790465355,0.012278175912797451
13,부천 역,0.6594606041908264,0.29973286390304565,0.020486047491431236,0.020320506766438484,0.7839798927307129,0.02026410959661007,0.019769644364714622,0.1759863644838333
14,중동 역,0.011912350542843342,0.011977537535130978,0.011798469349741936,0.9643115997314453,0.15447525680065155,0.01171998679637909,0.7011790871620178,0.13262569904327393
15,송내 역,0.1743571162223816,0.0,0.0,0.8157165050506592,0.4230193495750427,0.1463138610124588,0.42583978176116943,0.0
16,부개 역,0.021796556189656258,0.766865611076355,0.023407168686389923,0.187930628657341,0.26942548155784607,0.4948825538158417,0.02229059860110283,0.21340137720108032
17,부평 역,0.3986101448535919,0.2805301547050476,0.1647011786699295,0.15615855157375336,0.0,0.7600045204162598,0.10369479656219482,0.13068382441997528
18,백운 역,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
19,동암 역,0.0,0.25958749651908875,0.12914994359016418,0.6016097664833069,0.4194568395614624,0.0,0.4768369197845459,0.094004325568676
20,간석 역,0.06378260254859924,0.39263349771499634,0.06406240910291672,0.4795214831829071,0.29812440276145935,0.5761759281158447,0.06312574446201324,0.06257394701242447
21,주안 역,0.6658216714859009,0.022395912557840347,0.08734289556741714,0.22443950176239014,0.4487757086753845,0.5075106024742126,0.02183651179075241,0.021877191960811615
22,도화 역,0.06976544857025146,0.06580206006765366,0.49591493606567383,0.36851754784584045,0.0711963102221489,0.5557510256767273,0.3049837648868561,0.06806892156600952
23,제물포 역,0.5533355474472046,0.01411574985831976,0.11715730279684067,0.3153913617134094,0.33541885018348694,0.013923541642725468,0.3069126307964325,0.3437449336051941
24,도원 역,0.24538002908229828,0.029024001210927963,0.25280067324638367,0.4727952778339386,0.38124847412109375,0.1445445716381073,0.027440331876277924,0.4467666447162628
25,동인천 역,0.6854653358459473,0.0950501561164856,0.0,0.2142614722251892,0.40193846821784973,0.05221404880285263,0.5406789779663086,0.0
26,인천 역,0.29945340752601624,0.19596701860427856,0.0,0.4986463189125061,0.17363205552101135,0.0,0.8145623207092285,0.0
