,statnNm,pos0,pos1,pos2,pos3,neg0,neg1,neg2,neg3
0,서울역역,0.13788779079914093,0.20165559649467468,0.2673893868923187,0.3930671811103821,0.23426896333694458,0.15474317967891693,0.50450199842453,0.10648585855960846
1,남영,0.31335029006004333,0.42641565203666687,0.0272420234978199,0.23299206793308258,0.02673996239900589,0.028102487325668335,0.7436091303825378,0.20154844224452972
2,용산,0.07563924789428711,0.3218824863433838,0.4167519509792328,0.1857263296842575,0.14767494797706604,0.19281193614006042,0.4835107624530792,0.1760023832321167
3,노량진,0.17852963507175446,0.1448839157819748,0.3931199312210083,0.28346654772758484,0.3614611327648163,0.20980890095233917,0.3017633557319641,0.12696661055088043
4,대방,0.3840145766735077,0.014309092424809933,0.3994569182395935,0.2022194266319275,0.01448726560920477,0.22995010018348694,0.7419150471687317,0.013647559098899364
5,신길,0.08909061551094055,0.25230225920677185,0.5407950282096863,0.1178121343255043,0.11404487490653992,0.34563887119293213,0.35367125272750854,0.18664498627185822
6,영등포,0.12641571462154388,0.2607022225856781,0.5199745893478394,0.09290748089551926,0.3103393018245697,0.33095988631248474,0.23809431493282318,0.12060648947954178
7,신도림,0.12854427099227905,0.17092418670654297,0.43882277607917786,0.2617087960243225,0.1328945755958557,0.4618639051914215,0.2647140622138977,0.14052748680114746
8,구로,0.197609543800354,0.28278276324272156,0.3010837733745575,0.21852391958236694,0.3321516215801239,0.07493236660957336,0.5869390368461609,0.0
9,가산디지털단지,0.2943676710128784,0.19276726245880127,0.3529019355773926,0.15996313095092773,0.0,0.3075275719165802,0.5075943470001221,0.18095585703849792
10,독산,0.5002374649047852,0.13408195972442627,0.0,0.3562290668487549,0.0,0.0,0.7724300026893616,0.20770734548568726
11,금천구청,0.37089353799819946,0.22179482877254486,0.4004768133163452,0.0,0.0,0.30061936378479004,0.5339423418045044,0.15857166051864624
12,석수,0.010949550196528435,0.011270593851804733,0.5698979496955872,0.4078819453716278,0.010927568189799786,0.12562014162540436,0.8531004786491394,0.01035176869481802
13,관악,0.10053704679012299,0.3608235716819763,0.3406720459461212,0.1979673206806183,0.2014971822500229,0.06229158490896225,0.5043636560440063,0.23184755444526672
14,안양,0.010799385607242584,0.011093868874013424,0.5864279866218567,0.39167875051498413,0.16394591331481934,0.1596352458000183,0.41423681378364563,0.2621820271015167
15,명학,0.018732726573944092,0.705981433391571,0.017767878249287605,0.2575179636478424,0.657684862613678,0.017603212967514992,0.017215805128216743,0.3074961006641388
16,금정,0.0,0.09918859601020813,0.5505465269088745,0.3473445773124695,0.16611899435520172,0.3384464383125305,0.3727901875972748,0.12264438718557358
17,군포,0.0,0.12286265194416046,0.38461899757385254,0.4834993779659271,0.2640236020088196,0.11350855976343155,0.3560132682323456,0.2664545774459839
18,당정,0.3071276545524597,0.21393252909183502,0.25212204456329346,0.226817786693573,0.09517962485551834,0.47190991044044495,0.15513627231121063,0.27777421474456787
19,의왕,0.3008534610271454,0.0,0.17120008170604706,0.5231133699417114,0.34648436307907104,0.0,0.5292383432388306,0.11928709596395493
20,성균관대,0.0,0.3867482841014862,0.3176308274269104,0.28981271386146545,0.19287168979644775,0.1743079572916031,0.34858494997024536,0.284235417842865
21,화서,0.21624423563480377,0.0,0.4903564155101776,0.2839219570159912,0.3495382070541382,0.3048488199710846,0.0,0.3364478349685669
22,수원,0.11160183697938919,0.14040693640708923,0.4882279634475708,0.25976327061653137,0.3078097701072693,0.17475421726703644,0.33992356061935425,0.17751245200634003
23,세류,0.022388668730854988,0.23622743785381317,0.48356425762176514,0.25781965255737305,0.12794718146324158,0.11200152337551117,0.19393563270568848,0.56611567735672
24,병점,0.06203267350792885,0.010330009274184704,0.5548679828643799,0.3727693259716034,0.3018355667591095,0.010508110746741295,0.6765056252479553,0.011150713078677654
25,세마,0.025639722123742104,0.02670758031308651,0.9211957454681396,0.026456933468580246,0.02870669588446617,0.6316444277763367,0.02747407555580139,0.31217479705810547
26,오산대,0.0,0.24380376935005188,0.4420049488544464,0.3056095242500305,0.4036305248737335,0.02914685383439064,0.22922371327877045,0.3379988968372345
27,오산,0.015814414247870445,0.4699935019016266,0.3773692846298218,0.13682281970977783,0.016453934833407402,0.3869885206222534,0.5806224346160889,0.015935057774186134
