,statnNm,pos0,pos1,pos2,pos3,neg0,neg1,neg2,neg3
0,센가쿠지 station,0.1013333797454834,0.14012421667575836,0.22951649129390717,0.5290258526802063,0.2832227647304535,0.16965438425540924,0.39851945638656616,0.14860336482524872
1,시나가와 station,0.12183663994073868,0.13253825902938843,0.27979424595832825,0.46583086252212524,0.19587992131710052,0.14952340722084045,0.5692923665046692,0.08530425280332565
2,키타시나가와 station,0.12424259632825851,0.38719722628593445,0.17241567373275757,0.3161444664001465,0.18213987350463867,0.22172929346561432,0.5255472660064697,0.07058358192443848
3,신반바 station,0.2231861650943756,0.34437355399131775,0.15967757999897003,0.2727627158164978,0.15991011261940002,0.19895173609256744,0.5521317720413208,0.08900639414787292
4,아오모노요코초 station,0.11161965876817703,0.36099156737327576,0.2581460773944855,0.26924267411231995,0.2836872339248657,0.16592027246952057,0.5086994171142578,0.041693076491355896
5,사메즈 station,0.2793366312980652,0.0,0.08587397634983063,0.6310552954673767,0.13572394847869873,0.3188544511795044,0.43984541296958923,0.10557623207569122
6,타치아이가와 station,0.27082157135009766,0.34560227394104004,0.3788760304450989,0.0,0.23538529872894287,0.2992972731590271,0.2886311709880829,0.17668624222278595
7,오모리카이간 station,0.1299687623977661,0.22527644038200378,0.21280984580516815,0.43194490671157837,0.20855724811553955,0.3405352830886841,0.44797536730766296,0.0
8,헤이와지마 station,0.16435891389846802,0.177413672208786,0.26379328966140747,0.3944341242313385,0.14776578545570374,0.20403221249580383,0.40656980872154236,0.24163220822811127
9,오모리마치 역,0.12569719552993774,0.25136351585388184,0.1920539140701294,0.4308854043483734,0.0543961338698864,0.395283579826355,0.5461384057998657,0.0
10,우메야시키 역,0.18627148866653442,0.31969723105430603,0.14286935329437256,0.351161926984787,0.20481885969638824,0.17943765223026276,0.44501519203186035,0.17072834074497223
11,게이큐카마타 역,0.08862676471471786,0.3294264078140259,0.17369024455547333,0.4082565903663635,0.15232551097869873,0.18523865938186646,0.5622154474258423,0.10022041946649551
12,조시키 역,0.20904363691806793,0.2912217676639557,0.2651931047439575,0.23454147577285767,0.0,0.3502541184425354,0.5826713442802429,0.06510744988918304
13,로쿠고도테 역,0.0,0.20605234801769257,0.387864351272583,0.4035658836364746,0.06528919190168381,0.18487896025180817,0.433346152305603,0.3164856731891632
14,케이큐카와사키 역,0.084536112844944,0.28773483633995056,0.1662348210811615,0.46149420738220215,0.13577549159526825,0.1537688970565796,0.6251417994499207,0.0853138417005539
15,핫쵸나와테 역,0.23291346430778503,0.13631534576416016,0.11879751831293106,0.5119736790657043,0.24625730514526367,0.17410363256931305,0.42342084646224976,0.15621823072433472
16,츠루미이치바 역,0.16295911371707916,0.383156418800354,0.3203055262565613,0.13357900083065033,0.18615825474262238,0.28784000873565674,0.4085811674594879,0.11742058396339417
17,게이큐츠루미 역,0.043923236429691315,0.14615917205810547,0.42502832412719727,0.38488927483558655,0.18690045177936554,0.1888059377670288,0.2600660026073456,0.3642275929450989
18,카게츠소지지 역,0.0,0.2086421102285385,0.1512833684682846,0.6377881169319153,0.15987247228622437,0.09715572744607925,0.4714222550392151,0.2715495228767395
19,나마무기 역,0.06292594969272614,0.20709364116191864,0.19436675310134888,0.5356136560440063,0.2065911740064621,0.15805302560329437,0.45191341638565063,0.18344244360923767
20,케이큐신코야스 역,0.20334823429584503,0.0,0.3356704115867615,0.45309779047966003,0.20183661580085754,0.30270299315452576,0.39091095328330994,0.10454944521188736
21,코야스 역,0.21458859741687775,0.21429291367530823,0.08849585801362991,0.48262259364128113,0.1305348128080368,0.26178616285324097,0.4005858898162842,0.20709311962127686
22,가나가와신마치 역,0.16488464176654816,0.1082628145813942,0.15719540417194366,0.5696572065353394,0.2720327377319336,0.10833737254142761,0.5109972953796387,0.10863259434700012
23,케이큐히가시카나가와 역,0.17860247194766998,0.050783686339855194,0.11741054058074951,0.6532033681869507,0.39785200357437134,0.10755818337202072,0.41154569387435913,0.08304416388273239
24,가나가와 역,0.24012519419193268,0.15213441848754883,0.11300977319478989,0.4947306215763092,0.2989497482776642,0.1519179791212082,0.4335712790489197,0.11556097865104675
25,요코하마 역,0.1562323272228241,0.20015637576580048,0.17175331711769104,0.4718579649925232,0.16499431431293488,0.15802127122879028,0.5403212308883667,0.13666316866874695
